Date,Open,High,Low,Close,Volume
3-Feb-17,5.85,6.29,5.80,6.14,60023226
2-Feb-17,5.60,6.01,5.58,5.77,74846221
1-Feb-17,5.25,5.28,5.10,5.18,24539385
31-Jan-17,5.18,5.22,5.07,5.21,24215573
30-Jan-17,5.24,5.25,4.97,5.18,25116357
27-Jan-17,5.31,5.42,5.21,5.26,19368430
26-Jan-17,5.43,5.52,5.38,5.40,16095405
25-Jan-17,5.31,5.53,5.29,5.42,20307683
24-Jan-17,5.32,5.35,5.19,5.28,12707698
23-Jan-17,5.40,5.40,5.13,5.29,20331127
20-Jan-17,5.42,5.52,5.38,5.42,15569425
19-Jan-17,5.35,5.41,5.27,5.37,14622540
18-Jan-17,5.38,5.44,5.28,5.33,13550900
17-Jan-17,5.31,5.47,5.28,5.42,23528644
13-Jan-17,5.25,5.36,5.18,5.26,15290271
12-Jan-17,5.76,5.78,5.25,5.27,26530634
11-Jan-17,5.79,5.79,5.55,5.66,18541682
10-Jan-17,5.90,5.90,5.43,5.68,23833385
9-Jan-17,5.78,6.01,5.67,5.88,24325322
6-Jan-17,5.81,6.04,5.71,5.91,27923568
5-Jan-17,5.75,6.04,5.65,5.78,34234673
4-Jan-17,5.40,5.87,5.37,5.75,34054617
3-Jan-17,5.12,5.43,5.12,5.35,26791635
30-Dec-16,4.83,5.01,4.80,4.99,13483202
29-Dec-16,4.93,4.95,4.76,4.82,16779468
28-Dec-16,5.04,5.08,4.93,4.96,8669850
27-Dec-16,5.01,5.12,4.98,5.08,9397818
23-Dec-16,5.07,5.12,4.97,5.02,7909102
22-Dec-16,4.95,5.14,4.95,5.07,13683249
21-Dec-16,5.08,5.17,4.90,4.96,24208584
20-Dec-16,5.29,5.31,4.96,5.07,22516322
19-Dec-16,5.40,5.48,5.20,5.25,14373784
16-Dec-16,5.36,5.49,5.27,5.48,54440763
15-Dec-16,5.50,5.57,5.27,5.32,25558929
14-Dec-16,5.59,5.75,5.48,5.51,33492218
13-Dec-16,5.52,5.78,5.38,5.70,27665010
12-Dec-16,5.73,5.94,5.46,5.46,34184425
9-Dec-16,5.35,5.54,5.32,5.46,29837913
8-Dec-16,5.31,5.36,5.19,5.35,12683359
7-Dec-16,5.22,5.34,5.09,5.30,17077991
6-Dec-16,5.22,5.32,5.17,5.29,13192460
5-Dec-16,5.18,5.42,5.12,5.34,19143763
2-Dec-16,5.15,5.24,5.01,5.11,18904931
1-Dec-16,5.26,5.53,5.02,5.10,39630043
30-Nov-16,4.80,5.15,4.66,5.11,57872876
29-Nov-16,4.46,4.47,4.13,4.32,34996624
28-Nov-16,4.98,5.00,4.54,4.57,21041250
25-Nov-16,4.89,5.03,4.86,4.96,12112461
23-Nov-16,4.85,4.99,4.74,4.98,30807421
22-Nov-16,4.90,4.97,4.80,4.89,29751152
21-Nov-16,4.97,5.02,4.80,4.82,32404184
18-Nov-16,5.06,5.08,4.79,4.83,26812081
17-Nov-16,5.30,5.35,5.01,5.06,28903612
16-Nov-16,5.50,5.67,5.09,5.25,63114512
15-Nov-16,5.10,5.31,5.01,5.14,33150859
14-Nov-16,4.86,4.96,4.55,4.94,21840032
11-Nov-16,5.00,5.06,4.39,4.76,32796013
10-Nov-16,4.88,5.09,4.63,5.07,64006438
9-Nov-16,3.82,5.10,3.81,5.06,53425196
8-Nov-16,3.90,3.92,3.73,3.80,35981138
7-Nov-16,4.00,4.07,3.87,3.91,29008714
4-Nov-16,3.89,4.01,3.83,3.85,25889820
3-Nov-16,4.01,4.03,3.77,3.93,34880964
2-Nov-16,4.21,4.26,3.85,3.86,50540403
1-Nov-16,4.85,4.88,3.83,4.49,157831760
31-Oct-16,5.15,5.15,4.78,4.82,34554871
28-Oct-16,5.35,5.39,5.06,5.17,31587473
27-Oct-16,5.72,5.73,5.31,5.34,30727913
26-Oct-16,5.94,6.02,5.26,5.74,82630371
25-Oct-16,6.13,6.36,6.02,6.16,30605943
24-Oct-16,6.31,6.38,5.97,6.15,14610489
21-Oct-16,6.24,6.32,6.15,6.30,12555322
20-Oct-16,6.13,6.32,6.08,6.31,16641818
19-Oct-16,5.93,6.34,5.93,6.16,20359197
18-Oct-16,5.98,6.05,5.87,5.91,11062955
17-Oct-16,5.98,6.04,5.75,5.86,12299056
14-Oct-16,6.18,6.21,5.88,5.96,13646139
13-Oct-16,5.88,6.19,5.80,6.15,16121552
12-Oct-16,6.05,6.06,5.90,5.97,15521291
11-Oct-16,6.11,6.22,6.02,6.07,18460427
10-Oct-16,6.02,6.24,6.02,6.16,15339272
